favorite_haircut,edge_threshold,bets,hit_rate,flat_roi
0.0,0.03,144,0.3194444444444444,0.42424759200807266
0.0,0.05,121,0.3140495867768595,0.5547296406724411
0.0,0.08,96,0.2916666666666667,0.6553812730092148
0.02,0.03,144,0.3194444444444444,0.42424759200807266
0.02,0.05,120,0.30833333333333335,0.5530337063593636
0.02,0.08,95,0.28421052631578947,0.6530849043065138
0.05,0.03,142,0.30985915492957744,0.4175167301781275
0.05,0.05,118,0.2966101694915254,0.5461395987943323
0.05,0.08,95,0.28421052631578947,0.6530849043065138
0.08,0.03,141,0.3049645390070922,0.41428254883353405
0.08,0.05,118,0.2966101694915254,0.5461395987943323
0.08,0.08,95,0.28421052631578947,0.6530849043065138
