factor,scope,n,low_hit_rate,high_hit_rate,lift,correlation
edge,all,452,0.4911504424778761,0.3938053097345133,-0.09734513274336282,-0.173476466392528
market_price,all,452,0.2850877192982456,0.6026785714285714,0.3175908521303258,0.37446532488095413
model_probability,all,452,0.3274336283185841,0.5575221238938053,0.2300884955752212,0.3232858905882488
completeness_score,all,452,0.44598337950138506,0.42857142857142855,-0.01741195092995651,0.005856503431033525
edge,moneyline,156,0.44871794871794873,0.21794871794871795,-0.23076923076923078,-0.3515144447241176
edge,total,104,0.5,0.5,0.0,-0.10816672858581736
edge,btts,44,0.6818181818181818,0.3181818181818182,-0.3636363636363636,-0.4461176549706401
edge,advance,44,0.6363636363636364,0.36363636363636365,-0.2727272727272727,-0.13262999117471427
