market_type,rows,settled,hit_rate,avg_model_probability,brier,log_loss,flat_roi
advance,44,44,0.5,0.5,0.16561116780401103,0.5139793822947687,-0.13770436316371917
btts,44,44,0.5,0.5,0.2853727584686699,0.7712060578919625,-0.03878471127969288
handicap,104,104,0.5,0.49999995118295976,0.2375888099154363,0.6668228864675547,0.05777302290204878
moneyline,156,156,0.3333333333333333,0.3333333007886398,0.18345383559493897,0.5498497274808454,-0.12470093461462471
total,104,104,0.5,0.5,0.25669744257035715,0.7069849923369674,0.7112220857784826
