minute_bucket,snapshots,matches,any_remaining_goal_rate,avg_remaining_goals,current_draw_final_draw_rate,leader_held_rate
0-29,254,68,0.9173228346456693,2.956692913385827,0.16326530612244897,0.7777777777777778
30-59,37,16,0.8108108108108109,1.4864864864864864,0.4166666666666667,0.88
60-74,14,8,0.7857142857142857,1.5,0.25,0.9
75+,17,11,0.5882352941176471,0.8235294117647058,0.3333333333333333,0.6
