stage,rows,settled,hit_rate,avg_model_probability,brier,log_loss,flat_roi
final_window,22,22,0.45454545454545453,0.45454545454545453,0.26374702764183094,0.7221885776892772,0.3392777523333081
knockout_early,154,154,0.45454545454545453,0.4545454545454546,0.20609208915129199,0.6008421639325113,0.31250687062141563
modelled_group_window,210,210,0.42857142857142855,0.4285713802193125,0.2274452801366376,0.6448812991046019,-0.013687557187198043
quarterfinal_window,44,44,0.45454545454545453,0.45454545454545453,0.20904252647711213,0.5993399849757798,-0.1782245701658022
semifinal_window,22,22,0.45454545454545453,0.45454545454545453,0.24390295619204014,0.6812210066012181,0.3698845247581428
